ym,event,n_articles
2025-02,"Without any specific details or context from the news content, it is impossible to accurately categorize it. However, if we must select a tag, I would choose: press_releases",1
2025-02,"Without any specific news content provided in your request, I cannot accurately choose the best tag that describes the news. Please provide a brief description or key details of the news for a more appropriate tag selection.",1
2025-02,"Without any specific news content provided, it's not possible to select the best tag that accurately describes the news. Could you please provide more information or specify the topic of the news?",1
2025-02,"Without more information about the content of the news, it's not possible to accurately choose the best tag. Could you please provide more context or details about the subject of the news?",1
2025-02,"Without more information or context about the news article you would like to classify, it's impossible to choose the best tag. Could you please provide more details or specify the content or theme of the news story?",1
2025-02,"Without specific details about the news content, it is impossible to choose an appropriate tag. If more information is provided, a better selection can be made.",1
2025-02,"Without specific details or context within the news """", it isn't possible to accurately assign one tag from the provided list. If you can provide some context or content of the news, I can help choose the most appropriate tag.",1
2025-02,advisory,3
2025-02,analyst_coverage,9
2025-02,annual_general_meeting,111
2025-02,annual_meetings_shareholder_rights,2
2025-02,annual_report,128
2025-02,attachments,2
2025-02,bankruptcy,11
2025-02,bond_fixing,94
2025-02,business_contracts,143
2025-02,capital_investment,13
2025-02,changes_in_companys_own_shares,557
2025-02,changes_in_share_capital_and_votes,25
2025-02,clinical_study,112
2025-02,company_regulatory_filings,56
2025-02,conference_call_webinar,123
2025-02,contests_awards,5
2025-02,corporate_action,126
2025-02,dividend_reports_and_estimates,102
2025-02,drilling_results,1
2025-02,earnings_releases_and_operating_results,573
2025-02,employee_share_savings_plan,1
2025-02,environmental_social_governance,35
2025-02,ex_dividend_date,15
2025-02,exchange_announcement,48
2025-02,extraordinary_general_meeting,5
2025-02,feature_article,2
2025-02,financial_calendar,45
2025-02,financial_results,355
2025-02,financing_agreements,58
2025-02,fund_data_announcement,5
2025-02,geographic_expansion,23
2025-02,government_news,4
2025-02,initial_public_offerings,4
2025-02,insider_transactions,2
2025-02,interim_information,14
2025-02,joint_venture,7
2025-02,law_legal_issues,11
2025-02,letter_to_shareholders,1
2025-02,licensing_agreements,8
2025-02,major_shareholder_announcements,163
2025-02,management_changes,123
2025-02,management_statements,8
2025-02,manager_transaction,3
2025-02,managers'_transactions,2
2025-02,managers_transactions,3
2025-02,market_research_reports,2
2025-02,mergers_acquisitions,132
2025-02,news_placeholder,1
2025-02,observation_status,7
2025-02,partnerships,55
2025-02,patents,4
2025-02,press_releases,103
2025-02,product_services_announcement,58
2025-02,prospectus_announcement,13
2025-02,rating_agency_actions,1
2025-02,real_estate_development,1
2025-02,regulatory_filings,126
2025-02,remuneration,1
2025-02,rescheduling,1
2025-02,research_analysis_and_reports,3
2025-02,restructuring,1
2025-02,share_capital_increase,33
2025-02,shares_issue,71
2025-02,stock_option_program,1
2025-02,strategy_adjustment,2
2025-02,technical_issue,2
2025-02,trade_show,10
2025-02,trading_information,5
2025-02,voting_rights,199
2025-02,warrants_and_certificates,10
2025-03,This input does not provide any specific news content to assign a tag to. Please specify the news content or context for an appropriate tag assignment.,1
2025-03,"Without a specific news headline or content provided for evaluation, it’s difficult to select the most appropriate tag. Could you please provide some context or details from the news to assist with tagging?",1
2025-03,"Without any content in the news provided ("" ""), I cannot determine the best tag. Please provide the content or context of the news.",1
2025-03,"Without any provided news content, selecting an appropriate tag is impossible as I have no context. If you provide the news text or topic, I can help choose the most fitting tag.",1
2025-03,"Without specific content from the news, it's challenging to select the most appropriate tag. Could you provide more context or detail so I can assist you better?",1
2025-03,"Without specific context or details about the news, I am unable to select the most appropriate tag. If you provide more information about the content of the news, I can assist you better in choosing the right tag.",1
2025-03,"Without the content of the news, I am unable to pick the best tag to describe it. Please provide more information about the news.",1
2025-03,"Without the specific details of the news content, it's challenging to assign an accurate tag. Please provide a brief summary or key points of the news for precise tagging.",1
2025-03,advisory,9
2025-03,analyst_coverage,5
2025-03,annual_general_meeting,344
2025-03,annual_meetings_shareholder_rights,5
2025-03,annual_report,351
2025-03,bankruptcy,14
2025-03,bond_fixing,86
2025-03,business_contracts,106
2025-03,capital_investment,47
2025-03,changes_in_companys_own_shares,697
2025-03,changes_in_share_capital_and_votes,32
2025-03,clinical_study,153
2025-03,company_regulatory_filings,51
2025-03,conference_call_webinar,88
2025-03,contests_awards,18
2025-03,corporate_action,128
2025-03,correction,1
2025-03,credit_rating,3
2025-03,dealings-securities-director-and-associate-director-nepi-rockcastle,1
2025-03,dividend_reports_and_estimates,35
2025-03,earnings_releases_and_operating_results,92
2025-03,employee_share_savings_plan,1
2025-03,employee_shareholding,1
2025-03,environmental_social_governance,31
2025-03,ex_dividend_date,17
2025-03,exchange_announcement,58
2025-03,exploration,1
2025-03,extraordinary_general_meeting,6
2025-03,feature_article,1
2025-03,financial_calendar,27
2025-03,financial_results,265
2025-03,financing_agreements,85
2025-03,fund_data_announcement,5
2025-03,geographic_expansion,21
2025-03,government_news,15
2025-03,hedging,1
2025-03,initial_public_offerings,2
2025-03,interim_information,15
2025-03,investor_day,1
2025-03,joint_venture,8
2025-03,law_legal_issues,20
2025-03,licensing_agreements,19
2025-03,major_shareholder_announcements,127
2025-03,management_changes,149
2025-03,management_statements,2
2025-03,manager_transaction,1
2025-03,managerial_transactions,1
2025-03,managers_transactions,20
2025-03,market_making_contracts,1
2025-03,market_research_reports,2
2025-03,mergers_acquisitions,120
2025-03,news,1
2025-03,observation_status,10
2025-03,operational_performance,1
2025-03,partnerships,70
2025-03,patents,17
2025-03,press_releases,110
2025-03,product_services_announcement,70
2025-03,prospectus_announcement,11
2025-03,regulatory_filings,168
2025-03,research_analysis_and_reports,3
2025-03,share_capital_increase,47
2025-03,shares_issue,102
2025-03,strategic_review,1
2025-03,trade_show,18
2025-03,trading_information,1
2025-03,voting_rights,153
2025-03,warrants_and_certificates,25
2025-04,AGM,1
2025-04,advisory,3
2025-04,analyst_coverage,5
2025-04,annual_general_meeting,859
2025-04,annual_meetings_shareholder_rights,1
2025-04,annual_report,476
2025-04,bankruptcy,16
2025-04,bond_fixing,80
2025-04,business_contracts,82
2025-04,capital_investment,26
2025-04,changes_in_companys_own_shares,724
2025-04,changes_in_share_capital_and_votes,68
2025-04,clinical_study,156
2025-04,company_regulatory_filings,62
2025-04,conference_call_webinar,127
2025-04,contests_awards,18
2025-04,corporate_action,173
2025-04,credit_rating,5
2025-04,credit_rating_update,1
2025-04,dividend_reports_and_estimates,70
2025-04,earnings_releases_and_operating_results,238
2025-04,employee_share_ownership,1
2025-04,environmental_social_governance,38
2025-04,ex_dividend_date,33
2025-04,exchange_announcement,43
2025-04,extraordinary_general_meeting,1
2025-04,feature_article,2
2025-04,financial_calendar,46
2025-04,financial_results,519
2025-04,financing_agreements,44
2025-04,fund_data_announcement,9
2025-04,geographic_expansion,40
2025-04,government_news,20
2025-04,incentive_programme,1
2025-04,initial_public_offerings,6
2025-04,interim_information,47
2025-04,joint_venture,10
2025-04,law_legal_issues,22
2025-04,licensing_agreements,15
2025-04,long-term_incentive_plan,2
2025-04,major_shareholder_announcements,70
2025-04,management_changes,185
2025-04,management_statements,9
2025-04,manager_transactions,2
2025-04,managerial_transactions,2
2025-04,managers_transactions,10
2025-04,market_research_reports,4
2025-04,mergers_acquisitions,202
2025-04,nomination_committee,1
2025-04,observation_status,12
2025-04,partnerships,73
2025-04,patents,16
2025-04,press_releases,112
2025-04,product_services_announcement,99
2025-04,prospectus_announcement,7
2025-04,regulatory_filings,218
2025-04,research_analysis_and_reports,5
2025-04,share_capital_increase,50
2025-04,shares_issue,78
2025-04,strategic_targets,1
2025-04,sustainability,1
2025-04,trade_show,14
2025-04,trading_information,4
2025-04,transparency_notifications,1
2025-04,votes,1
2025-04,voting_rights,135
2025-04,warrants_and_certificates,18
2025-05,advisory,3
2025-05,analyst_coverage,7
2025-05,announcement,1
2025-05,annual_general_meeting,681
2025-05,annual_meetings_shareholder_rights,4
2025-05,annual_report,67
2025-05,bankruptcy,11
2025-05,bond_fixing,109
2025-05,business_contracts,78
2025-05,capital_investment,46
2025-05,changes_in_companys_own_shares,821
2025-05,changes_in_share_capital_and_votes,74
2025-05,clinical_study,188
2025-05,company_regulatory_filings,40
2025-05,conference_call_webinar,130
2025-05,contests_awards,11
2025-05,corporate_action,172
2025-05,cost_savings,1
2025-05,credit_rating,1
2025-05,delisting,1
2025-05,dividend_reports_and_estimates,82
2025-05,earnings_releases_and_operating_results,270
2025-05,employee_share_ownership,2
2025-05,energy,1
2025-05,environmental_social_governance,41
2025-05,ex_dividend_date,51
2025-05,exchange_announcement,58
2025-05,extraordinary_general_meeting,7
2025-05,feature_article,1
2025-05,financial_calendar,41
2025-05,financial_results,630
2025-05,financing_agreements,72
2025-05,fleet_status_report,1
2025-05,fund_data_announcement,10
2025-05,geographic_expansion,46
2025-05,government_news,19
2025-05,initial_public_offerings,3
2025-05,interim_information,54
2025-05,joint_venture,5
2025-05,law_legal_issues,13
2025-05,licensing_agreements,8
2025-05,major_shareholder_announcements,107
2025-05,managemen_changes,1
2025-05,management_changes,195
2025-05,manager_transaction,2
2025-05,manager_transactions,3
2025-05,managerial_transactions,10
2025-05,managers'_transactions,2
2025-05,managers_transactions,79
2025-05,market_research_reports,3
2025-05,mergers_acquisitions,167
2025-05,observation_status,23
2025-05,partnerships,96
2025-05,patents,11
2025-05,press_releases,136
2025-05,product_services_announcement,123
2025-05,prospectus_announcement,17
2025-05,regulatory_filings,164
2025-05,research_analysis_and_reports,2
2025-05,rights_issue,1
2025-05,share_capital_increase,65
2025-05,shares_issue,117
2025-05,sustainability-linked_bonds,1
2025-05,trade_show,9
2025-05,trading_information,15
2025-05,voting_rights,121
2025-05,warrants_and_certificates,17
2025-06,advisory,2
2025-06,analyst_coverage,5
2025-06,annual_general_meeting,268
2025-06,annual_meetings_shareholder_rights,1
2025-06,annual_report,37
2025-06,bankruptcy,25
2025-06,bond_fixing,84
2025-06,business_contracts,75
2025-06,capital_investment,32
2025-06,changes_in_companys_own_shares,783
2025-06,changes_in_share_capital_and_votes,63
2025-06,clinical_study,135
2025-06,company_regulatory_filings,26
2025-06,conference_call_webinar,66
2025-06,contests_awards,20
2025-06,corporate_action,166
2025-06,credit_rating,4
2025-06,credit_ratings,1
2025-06,dividend_reports_and_estimates,37
2025-06,earnings_releases_and_operating_results,47
2025-06,employee_share_purchase_programme,1
2025-06,environmental_social_governance,43
2025-06,ex_dividend_date,11
2025-06,exchange_announcement,64
2025-06,extraordinary_general_meeting,7
2025-06,feature_article,3
2025-06,financial_calendar,34
2025-06,financial_results,110
2025-06,financing_agreements,95
2025-06,fund_data_announcement,11
2025-06,geographic_expansion,57
2025-06,government_news,22
2025-06,initial_public_offerings,19
2025-06,interim_information,15
2025-06,joint_venture,15
2025-06,law_legal_issues,16
